"Week";"VOLUME_OF_SALES";"ACTUAL_PRICE";"COMPETITOR1_PRICE";"COMPETITOR2_PRICE";"COMPETITOR3_PRICE";"COMPETITOR4_PRICE";"COMPETITOR5_PRICE";"COMPETITOR6_PRICE";"COMPETITOR7_PRICE";"TYPE_OF_PROMOTION";"inProm";"FirstWeekOfProm";"LengthOfProm";"BaseSales";"BaseSales2";"SaleUplift";"SalesYearPast";"PercSaleuplift";"BasePrice"
1;103188;1,011;0,674;0;0;0;0;0;0;"";0;0;NA;103188;103188;0;NA;0;1,011
2;93420;1,003;0,715;0;0;0;0;0;0;"";0;0;NA;93420;93420;0;NA;0;1,003
3;78636;0,99;0,707;0;0;0;0;0;0;"";0;0;NA;78636;78636;0;NA;0;0,99
4;36840;0,955;0,703;0;0;0;0;0;0;"";0;0;NA;36840;36840;0;NA;0;0,955
5;74880;1,072;0,711;0;0;0;0;0;0;"";0;0;NA;74880;74880;0;NA;0;1,072
6;175800;0,784;0,667;0;0;0;0;0;0;"A";1;1;3;63452;77392,8;98407,2;NA;1,27152913449313;1,06083333333333
7;170928;0,758;0,622;0;0;0;0;0;0;"A";1;0;NA;63452;77392,8;93535,2;NA;1,20857754209694;1,04966666666667
8;84936;0,879;0,673;0;0;0;0;0;0;"A";1;0;NA;63452;77392,8;7543,2;NA;0,0974664309858282;1,0385
9;74808;0,94;0,701;0;0;0;0;0;0;"";0;0;NA;74808;74808;0;NA;0;1,02733333333333
10;96288;0,959;0,667;0;0;0;0;0;0;"";0;0;NA;96288;96288;0;NA;0;1,01616666666667
11;88560;1,005;0,68;0;0;0;0;0;0;"";0;0;NA;88560;88560;0;NA;0;1,005
12;157452;0,867;0,64;0;0;0;0;0;0;"B";1;1;3;86552;86552;70900;NA;0,819160735742675;1,00816666666667
13;98700;0,905;0,655;0;0;0;0;0;0;"B";1;0;NA;86552;86552;12148;NA;0,140354931139662;1,01133333333333
14;73908;0,938;0,648;0;0;0,618;0,878;0;0;"B";1;0;NA;86552;86552;-12644;NA;-0,14608559016545;1,0145
15;64164;0,95;0,681;0;0;0,595;0,826;0;0;"";0;0;NA;64164;64164;0;NA;0;1,01766666666667
